reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
KNOW,YOU,YOU,"{'mean_confidence': 0.9778721332550049, 'min_confidence': 0.5763493180274963, 'max_confidence': 0.9999924898147583}","{'mean_confidence': 0.9779455065727234, 'min_confidence': 0.5276721715927124, 'max_confidence': 0.9999637603759766}",2.49,2.1466875,1.0,1.0,"{'original_duration': 2.49, 'adjusted_duration': 2.1466875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9, 'total_adjusted_duration': 1.8023507282692184, 'tempo_ratio': 1.05417884}, 'n': {'count': 1, 'total_original_duration': 0.295, 'total_adjusted_duration': 0.16973809387373798, 'tempo_ratio': 1.737971679}, 'ow': {'count': 1, 'total_original_duration': 0.285, 'total_adjusted_duration': 0.1746255624464191, 'tempo_ratio': 1.632063462}}}",0267.wav
CHARLIE,CURELY,CULE,"{'mean_confidence': 0.9898019433021545, 'min_confidence': 0.8057726621627808, 'max_confidence': 0.9999837875366211}","{'mean_confidence': 0.9866176247596741, 'min_confidence': 0.8422850966453552, 'max_confidence': 0.9999793767929077}",2.775,2.3245,1.0,1.0,"{'original_duration': 2.775, 'adjusted_duration': 2.3245, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.7999999999999998, 'total_adjusted_duration': 1.7074901636234698, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.08986104723363532, 'tempo_ratio': 1.557960922}, 'ch': {'count': 1, 'total_original_duration': 0.2775, 'total_adjusted_duration': 0.19902757979036115, 'tempo_ratio': 1.394279126}, 'aa': {'count': 1, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.0881412146361301, 'tempo_ratio': 1.871995986}, 'r': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05903099537474729, 'tempo_ratio': 1.566973408}, 'l': {'count': 1, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.03473676938299546, 'tempo_ratio': 1.799246191}, 'iy': {'count': 1, 'total_original_duration': 0.2275, 'total_adjusted_duration': 0.14625043639040927, 'tempo_ratio': 1.555550914}}}",0268.wav
THIGH,SHA,SA,"{'mean_confidence': 0.9849684238433838, 'min_confidence': 0.5250788331031799, 'max_confidence': 0.9999994039535522}","{'mean_confidence': 0.989346444606781, 'min_confidence': 0.39876314997673035, 'max_confidence': 0.9999992847442627}",5.205,4.7048125,1.0,1.0,"{'original_duration': 5.205, 'adjusted_duration': 4.7048125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 4.2775, 'total_adjusted_duration': 4.057660652721886, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.1299775861772225, 'tempo_ratio': 1.557960922}, 'th': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.14252333017577182, 'tempo_ratio': 1.438361002}, 'ay': {'count': 1, 'total_original_duration': 0.51, 'total_adjusted_duration': 0.37464635064897805, 'tempo_ratio': 1.361283779}}}",0269.wav
YES,YES,YEFT,"{'mean_confidence': 0.9913980960845947, 'min_confidence': 0.5706729292869568, 'max_confidence': 0.9999936819076538}","{'mean_confidence': 0.9777462482452393, 'min_confidence': 0.37037137150764465, 'max_confidence': 0.9999651908874512}",2.48,2.0138125,0.0,1.0,"{'original_duration': 2.48, 'adjusted_duration': 2.0138125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5699999999999998, 'total_adjusted_duration': 1.4893108649382487, 'tempo_ratio': 1.05417884}, 'y': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.10428616638224715, 'tempo_ratio': 1.941772404}, 'eh': {'count': 1, 'total_original_duration': 0.1625, 'total_adjusted_duration': 0.10270341289274597, 'tempo_ratio': 1.582225901}, 's': {'count': 1, 'total_original_duration': 0.535, 'total_adjusted_duration': 0.3175057487130924, 'tempo_ratio': 1.685008861}}}",0272.wav
FORWARD,ON,RUIN,"{'mean_confidence': 0.971249520778656, 'min_confidence': 0.2905869483947754, 'max_confidence': 0.9999974966049194}","{'mean_confidence': 0.989202082157135, 'min_confidence': 0.5911140441894531, 'max_confidence': 0.9999972581863403}",2.715,2.3195625,1.0,1.0,"{'original_duration': 2.715, 'adjusted_duration': 2.3195625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.0725, 'total_adjusted_duration': 1.9659852022831343, 'tempo_ratio': 1.05417884}, 'f': {'count': 1, 'total_original_duration': 0.08, 'total_adjusted_duration': 0.049059946753068885, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.06959798319381888, 'tempo_ratio': 1.724187893}, 'w': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.07120678686400393, 'tempo_ratio': 1.755450646}, 'er': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.061752201709541626, 'tempo_ratio': 2.024219324}, 'd': {'count': 1, 'total_original_duration': 0.1825, 'total_adjusted_duration': 0.10193160321060578, 'tempo_ratio': 1.790416262}}}",0273.wav
THE ISLANDS ARE SPARSELY POPULATED,THE ISLAND UNBELIEVE BA PAPLILI DI,THE ISLAND UNBELIEVED BA PAPAPALILI,"{'mean_confidence': 0.9653596878051758, 'min_confidence': 0.32368212938308716, 'max_confidence': 0.9999986886978149}","{'mean_confidence': 0.9694298505783081, 'min_confidence': 0.49121618270874023, 'max_confidence': 0.9999958276748657}",10.205,7.31825,1.0,0.8,"{'original_duration': 10.205, 'adjusted_duration': 7.31825, 'phoneme_stats': {'dcl': {'count': 2, 'total_original_duration': 1.2225000000000001, 'total_adjusted_duration': 0.7846795017365654, 'tempo_ratio': 1.557960922}, 'dh': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.041455280458827334, 'tempo_ratio': 2.231320087}, 'ah': {'count': 2, 'total_original_duration': 0.36, 'total_adjusted_duration': 0.169819382208956, 'tempo_ratio': 2.119899362}, 'ay': {'count': 1, 'total_original_duration': 0.255, 'total_adjusted_duration': 0.18732317532448903, 'tempo_ratio': 1.361283779}, 'l': {'count': 3, 'total_original_duration': 0.355, 'total_adjusted_duration': 0.1973048500954142, 'tempo_ratio': 1.799246191}, 'n': {'count': 1, 'total_original_duration': 0.2775, 'total_adjusted_duration': 0.15966888491512643, 'tempo_ratio': 1.737971679}, 'noi': {'count': 5, 'total_original_duration': 3.49, 'total_adjusted_duration': 3.3106337061366173, 'tempo_ratio': 1.05417884}, 'aa': {'count': 4, 'total_original_duration': 0.6525000000000001, 'total_adjusted_duration': 0.34855843969742356, 'tempo_ratio': 1.871995986}, 'r': {'count': 2, 'total_original_duration': 0.33, 'total_adjusted_duration': 0.21059706458017952, 'tempo_ratio': 1.566973408}, 'pcl': {'count': 5, 'total_original_duration': 0.6925, 'total_adjusted_duration': 0.4148130563047416, 'tempo_ratio': 1.66942672}, 'p': {'count': 6, 'total_original_duration': 0.3575, 'total_adjusted_duration': 0.21833713244117123, 'tempo_ratio': 1.637376089}, 'iy': {'count': 1, 'total_original_duration': 0.655, 'total_adjusted_duration': 0.4210726849921674, 'tempo_ratio': 1.555550914}, 'y': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.09141133102641415, 'tempo_ratio': 1.941772404}, 'uw': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.16480151531508955, 'tempo_ratio': 1.805201848}, 'ey': {'count': 1, 'total_original_duration': 0.245, 'total_adjusted_duration': 0.15961825442881597, 'tempo_ratio': 1.534912162}, 'tcl': {'count': 1, 'total_original_duration': 0.29, 'total_adjusted_duration': 0.17310098053181738, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.1025, 'total_adjusted_duration': 0.06221612243892529, 'tempo_ratio': 1.647482935}, 'ih': {'count': 1, 'total_original_duration': 0.2725, 'total_adjusted_duration': 0.16369115414288515, 'tempo_ratio': 1.664720378}, 'd': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.03909705328625976, 'tempo_ratio': 1.790416262}}}",0274.wav
JULIET,RIGER ONE TWO THRE STUP,KE ONE TWO CASED UP,"{'mean_confidence': 0.9313449859619141, 'min_confidence': 0.3045019209384918, 'max_confidence': 0.9999922513961792}","{'mean_confidence': 0.9256559014320374, 'min_confidence': 0.22976204752922058, 'max_confidence': 0.9999876022338867}",2.89,2.732,5.0,5.0,"{'original_duration': 2.89, 'adjusted_duration': 2.732, 'phoneme_stats': {'noi': {'count': 1, 'total_original_duration': 2.88, 'total_adjusted_duration': 2.731984261797552, 'tempo_ratio': 1.05417884}}}",0275.wav
PAPA,DO YET,DULIET,"{'mean_confidence': 0.9795942306518555, 'min_confidence': 0.6015849113464355, 'max_confidence': 0.9999995231628418}","{'mean_confidence': 0.9750806093215942, 'min_confidence': 0.38246574997901917, 'max_confidence': 0.9999983310699463}",3.55,2.94,2.0,1.0,"{'original_duration': 3.55, 'adjusted_duration': 2.94, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.33, 'total_adjusted_duration': 2.210251156245936, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.0770237547716874, 'tempo_ratio': 1.557960922}, 'jh': {'count': 1, 'total_original_duration': 0.065, 'total_adjusted_duration': 0.034088853384060286, 'tempo_ratio': 1.906781647}, 'uw': {'count': 1, 'total_original_duration': 0.115, 'total_adjusted_duration': 0.0637047874327237, 'tempo_ratio': 1.805201848}, 'l': {'count': 1, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.03473676938299546, 'tempo_ratio': 1.799246191}, 'iy': {'count': 1, 'total_original_duration': 0.1025, 'total_adjusted_duration': 0.06589305375831626, 'tempo_ratio': 1.555550914}, 'eh': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.07584252029002779, 'tempo_ratio': 1.582225901}, 'tcl': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.044767494965125186, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.55, 'total_adjusted_duration': 0.33384260820886746, 'tempo_ratio': 1.647482935}}}",0276.wav
BRAWN,BAN,BURN,"{'mean_confidence': 0.9781152009963989, 'min_confidence': 0.5103263854980469, 'max_confidence': 0.9999979734420776}","{'mean_confidence': 0.985755980014801, 'min_confidence': 0.62013179063797, 'max_confidence': 0.9999951124191284}",3.475,2.909,1.0,1.0,"{'original_duration': 3.475, 'adjusted_duration': 2.909, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.44, 'total_adjusted_duration': 2.3145977773562594, 'tempo_ratio': 1.05417884}, 'bcl': {'count': 1, 'total_original_duration': 0.2575, 'total_adjusted_duration': 0.15964321429174064, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.04, 'total_adjusted_duration': 0.023906871651690968, 'tempo_ratio': 1.673159106}, 'r': {'count': 1, 'total_original_duration': 0.0675, 'total_adjusted_duration': 0.04307667230049127, 'tempo_ratio': 1.566973408}, 'aw': {'count': 1, 'total_original_duration': 0.185, 'total_adjusted_duration': 0.09450718064383577, 'tempo_ratio': 1.957523214}, 'n': {'count': 1, 'total_original_duration': 0.475, 'total_adjusted_duration': 0.2733071003051713, 'tempo_ratio': 1.737971679}}}",0278.wav
LOYAL,LAON,NAEN,"{'mean_confidence': 0.9785456657409668, 'min_confidence': 0.44825828075408936, 'max_confidence': 0.9999983310699463}","{'mean_confidence': 0.9739565849304199, 'min_confidence': 0.413422167301178, 'max_confidence': 0.9999988079071045}",2.485,2.0265625,1.0,1.0,"{'original_duration': 2.485, 'adjusted_duration': 2.0265625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.7200000000000002, 'total_adjusted_duration': 1.6316017119068715, 'tempo_ratio': 1.05417884}, 'l': {'count': 2, 'total_original_duration': 0.37, 'total_adjusted_duration': 0.20564167474733314, 'tempo_ratio': 1.799246191}, 'oy': {'count': 1, 'total_original_duration': 0.1975, 'total_adjusted_duration': 0.10323763786093453, 'tempo_ratio': 1.913061981}, 'ah': {'count': 1, 'total_original_duration': 0.1825, 'total_adjusted_duration': 0.08608899236981798, 'tempo_ratio': 2.119899362}}}",0279.wav
HAT,HAHUD,HA HUT,"{'mean_confidence': 0.9705835580825806, 'min_confidence': 0.5086472034454346, 'max_confidence': 0.999994158744812}","{'mean_confidence': 0.9654884934425354, 'min_confidence': 0.5609695911407471, 'max_confidence': 0.9999868869781494}",2.535,2.0093125,1.0,2.0,"{'original_duration': 2.535, 'adjusted_duration': 2.0093125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.2375, 'total_adjusted_duration': 1.1738994874911357, 'tempo_ratio': 1.05417884}, 'hh': {'count': 1, 'total_original_duration': 0.7075, 'total_adjusted_duration': 0.49099947474854067, 'tempo_ratio': 1.440938405}, 'ae': {'count': 1, 'total_original_duration': 0.185, 'total_adjusted_duration': 0.10567555332932135, 'tempo_ratio': 1.750641413}, 'tcl': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.05819774345466275, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.1805785017129783, 'tempo_ratio': 1.647482935}}}",0280.wav
ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY,HOTLUGIUMTHELAWARE CANOT THEN BE BE FUNTY,HOLIBIUMTHE WIWER CANOT THEN BE BE TUNTY,"{'mean_confidence': 0.9568425416946411, 'min_confidence': 0.39099201560020447, 'max_confidence': 0.9999982118606567}","{'mean_confidence': 0.952474057674408, 'min_confidence': 0.3097577393054962, 'max_confidence': 0.9999977350234985}",12.38,8.77375,0.8333333333333334,1.0,"{'original_duration': 12.38, 'adjusted_duration': 8.77375, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 4.505, 'total_adjusted_duration': 4.273468437290962, 'tempo_ratio': 1.05417884}, 'ah': {'count': 4, 'total_original_duration': 0.7800000000000001, 'total_adjusted_duration': 0.3679419947860713, 'tempo_ratio': 2.119899362}, 'l': {'count': 3, 'total_original_duration': 0.2675, 'total_adjusted_duration': 0.14867337295922056, 'tempo_ratio': 1.799246191}, 'uw': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.054010580649483136, 'tempo_ratio': 1.805201848}, 'm': {'count': 4, 'total_original_duration': 1.8624999999999998, 'total_adjusted_duration': 1.063009434179906, 'tempo_ratio': 1.752101101}, 'n': {'count': 2, 'total_original_duration': 0.6475, 'total_adjusted_duration': 0.3725607314686283, 'tempo_ratio': 1.737971679}, 's': {'count': 1, 'total_original_duration': 0.0825, 'total_adjusted_duration': 0.048961166857626394, 'tempo_ratio': 1.685008861}, 'ih': {'count': 3, 'total_original_duration': 0.5375, 'total_adjusted_duration': 0.3228770471625716, 'tempo_ratio': 1.664720378}, 'v': {'count': 1, 'total_original_duration': 0.1075, 'total_adjusted_duration': 0.06033761206424005, 'tempo_ratio': 1.781641605}, 'er': {'count': 1, 'total_original_duration': 0.1425, 'total_adjusted_duration': 0.07039750994887745, 'tempo_ratio': 2.024219324}, 'w': {'count': 1, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.09399295866048518, 'tempo_ratio': 1.755450646}, 'eh': {'count': 1, 'total_original_duration': 0.1825, 'total_adjusted_duration': 0.11534383294108393, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.1025, 'total_adjusted_duration': 0.0654127246044497, 'tempo_ratio': 1.566973408}, 'kcl': {'count': 1, 'total_original_duration': 0.2525, 'total_adjusted_duration': 0.1283639666703962, 'tempo_ratio': 1.967062927}, 'k': {'count': 1, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.10824792115028088, 'tempo_ratio': 1.98618133}, 'ae': {'count': 1, 'total_original_duration': 0.1425, 'total_adjusted_duration': 0.08139873702393671, 'tempo_ratio': 1.750641413}, 'ao': {'count': 1, 'total_original_duration': 0.255, 'total_adjusted_duration': 0.14789571428686513, 'tempo_ratio': 1.724187893}, 'f': {'count': 3, 'total_original_duration': 0.575, 'total_adjusted_duration': 0.3526183672876826, 'tempo_ratio': 1.630658109}, 'b': {'count': 1, 'total_original_duration': 0.065, 'total_adjusted_duration': 0.03884866643399782, 'tempo_ratio': 1.673159106}, 'iy': {'count': 2, 'total_original_duration': 1.2449999999999999, 'total_adjusted_duration': 0.8003595310156464, 'tempo_ratio': 1.555550914}, 'z': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.05895028749036212, 'tempo_ratio': 2.374882396}}}",0281.wav
IT WAS A GOOD WIN FOR US,HE WAY WAR IT A GLINY WING ON,HE WORE WAY WAR A DI WING RELON,"{'mean_confidence': 0.9406725168228149, 'min_confidence': 0.2970982789993286, 'max_confidence': 0.9999982118606567}","{'mean_confidence': 0.928013026714325, 'min_confidence': 0.2273835688829422, 'max_confidence': 0.9999988079071045}",7.5250625,5.201625,1.1428571428571428,1.1428571428571428,"{'original_duration': 7.5250625, 'adjusted_duration': 5.201625, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 2.4475000000000002, 'total_adjusted_duration': 2.321712319704691, 'tempo_ratio': 1.05417884}, 'ih': {'count': 2, 'total_original_duration': 0.47750000000000004, 'total_adjusted_duration': 0.28683495817698224, 'tempo_ratio': 1.664720378}, 't': {'count': 1, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.037936660023734935, 'tempo_ratio': 1.647482935}, 'w': {'count': 3, 'total_original_duration': 0.6825, 'total_adjusted_duration': 0.3887890562774614, 'tempo_ratio': 1.755450646}, 'aa': {'count': 2, 'total_original_duration': 0.6475, 'total_adjusted_duration': 0.34588749379935907, 'tempo_ratio': 1.871995986}, 'ah': {'count': 3, 'total_original_duration': 0.9625, 'total_adjusted_duration': 0.45403098715588935, 'tempo_ratio': 2.119899362}, 'z': {'count': 1, 'total_original_duration': 0.1025, 'total_adjusted_duration': 0.04316003191258655, 'tempo_ratio': 2.374882396}, 'gcl': {'count': 1, 'total_original_duration': 0.415, 'total_adjusted_duration': 0.3033945197882982, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.2675, 'total_adjusted_duration': 0.17117986935691876, 'tempo_ratio': 1.562683749}, 'uh': {'count': 1, 'total_original_duration': 0.7575, 'total_adjusted_duration': 0.4339058727720973, 'tempo_ratio': 1.745770333}, 'n': {'count': 1, 'total_original_duration': 0.1675, 'total_adjusted_duration': 0.09637671431813936, 'tempo_ratio': 1.737971679}, 'f': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.0567255634332359, 'tempo_ratio': 1.630658109}, 'ao': {'count': 1, 'total_original_duration': 0.17, 'total_adjusted_duration': 0.09859714285791009, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.1625, 'total_adjusted_duration': 0.10370309998266417, 'tempo_ratio': 1.566973408}, 's': {'count': 1, 'total_original_duration': 0.1, 'total_adjusted_duration': 0.05934686891833502, 'tempo_ratio': 1.685008861}}}",0283.wav
KITTEN,HEBIN,HIBEN,"{'mean_confidence': 0.9813218712806702, 'min_confidence': 0.5263765454292297, 'max_confidence': 0.9999984502792358}","{'mean_confidence': 0.9863817691802979, 'min_confidence': 0.4559900760650635, 'max_confidence': 0.9999985694885254}",3.555,2.9341875,1.0,1.0,"{'original_duration': 3.555, 'adjusted_duration': 2.9341875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.4699999999999998, 'total_adjusted_duration': 2.343055946749984, 'tempo_ratio': 1.05417884}, 'k': {'count': 1, 'total_original_duration': 0.36, 'total_adjusted_duration': 0.1812523330888424, 'tempo_ratio': 1.98618133}, 'ih': {'count': 1, 'total_original_duration': 0.1325, 'total_adjusted_duration': 0.07959294650984323, 'tempo_ratio': 1.664720378}, 'tcl': {'count': 1, 'total_original_duration': 0.0725, 'total_adjusted_duration': 0.043275245132954346, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.02276199601424096, 'tempo_ratio': 1.647482935}, 'ah': {'count': 1, 'total_original_duration': 0.0725, 'total_adjusted_duration': 0.03419973669485919, 'tempo_ratio': 2.119899362}, 'n': {'count': 1, 'total_original_duration': 0.4, 'total_adjusted_duration': 0.23015334762540746, 'tempo_ratio': 1.737971679}}}",0284.wav
I EXPECT WE LL BOUNCE BACK THIS WEEK,I A BENBENMI BED TOWAY WE WEVE WER BEN BOND THEN TEN BI BLEAK,I AD BETNBEN MI BETE WAY WEN WE WE BOUND BAND TEN AN BID WEK,"{'mean_confidence': 0.9337681531906128, 'min_confidence': 0.3273967206478119, 'max_confidence': 0.9999967813491821}","{'mean_confidence': 0.9189416170120239, 'min_confidence': 0.3469851016998291, 'max_confidence': 0.999993085861206}",15.32,11.859,1.5,1.625,"{'original_duration': 15.32, 'adjusted_duration': 11.859, 'phoneme_stats': {'noi': {'count': 5, 'total_original_duration': 7.4425, 'total_adjusted_duration': 7.0599975237598205, 'tempo_ratio': 1.05417884}, 'ay': {'count': 3, 'total_original_duration': 1.0999999999999999, 'total_adjusted_duration': 0.8080607563017175, 'tempo_ratio': 1.361283779}, 'ih': {'count': 3, 'total_original_duration': 0.3225, 'total_adjusted_duration': 0.19372622829754296, 'tempo_ratio': 1.664720378}, 'pcl': {'count': 2, 'total_original_duration': 0.8975, 'total_adjusted_duration': 0.537609701131416, 'tempo_ratio': 1.66942672}, 'p': {'count': 2, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.038170827349855115, 'tempo_ratio': 1.637376089}, 'eh': {'count': 4, 'total_original_duration': 0.5575, 'total_adjusted_duration': 0.3523517088474208, 'tempo_ratio': 1.582225901}, 'b': {'count': 3, 'total_original_duration': 0.135, 'total_adjusted_duration': 0.080685691824457, 'tempo_ratio': 1.673159106}, 'aw': {'count': 2, 'total_original_duration': 0.445, 'total_adjusted_duration': 0.22732808317030767, 'tempo_ratio': 1.957523214}, 'n': {'count': 4, 'total_original_duration': 1.0925, 'total_adjusted_duration': 0.6286063307018941, 'tempo_ratio': 1.737971679}, 'tcl': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.0716279919442003, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.07, 'total_adjusted_duration': 0.04248905922658313, 'tempo_ratio': 1.647482935}, 'w': {'count': 4, 'total_original_duration': 1.0175, 'total_adjusted_duration': 0.5796232450729919, 'tempo_ratio': 1.755450646}, 'iy': {'count': 4, 'total_original_duration': 0.905, 'total_adjusted_duration': 0.5817874502563534, 'tempo_ratio': 1.555550914}, 'l': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.051410418686833284, 'tempo_ratio': 1.799246191}, 'bcl': {'count': 1, 'total_original_duration': 0.055, 'total_adjusted_duration': 0.03409855062542033, 'tempo_ratio': 1.612971783}, 'ae': {'count': 1, 'total_original_duration': 0.185, 'total_adjusted_duration': 0.10567555332932135, 'tempo_ratio': 1.750641413}, 'dcl': {'count': 1, 'total_original_duration': 0.43, 'total_adjusted_duration': 0.27600178793187985, 'tempo_ratio': 1.557960922}, 'dh': {'count': 1, 'total_original_duration': 0.03, 'total_adjusted_duration': 0.01344495582448454, 'tempo_ratio': 2.231320087}, 'k': {'count': 1, 'total_original_duration': 0.35, 'total_adjusted_duration': 0.17621754605859677, 'tempo_ratio': 1.98618133}}}",0285.wav
SHE WORE WARM FLEECY WOOLEN OVERALLS,SHE WAR WONSINDE WOMAN NO N WRONG,SHE WE ONE THIN DE WOUN NOW O ON,"{'mean_confidence': 0.9424436092376709, 'min_confidence': 0.300847589969635, 'max_confidence': 0.999996542930603}","{'mean_confidence': 0.9090890884399414, 'min_confidence': 0.29286372661590576, 'max_confidence': 0.9999949932098389}",9.195,6.36175,1.0,1.3333333333333333,"{'original_duration': 9.195, 'adjusted_duration': 6.36175, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 2.9225, 'total_adjusted_duration': 2.7723000017719954, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.4025, 'total_adjusted_duration': 0.2583505107967015, 'tempo_ratio': 1.557960922}, 'sh': {'count': 1, 'total_original_duration': 0.26, 'total_adjusted_duration': 0.17357871380786094, 'tempo_ratio': 1.497879517}, 'iy': {'count': 3, 'total_original_duration': 0.505, 'total_adjusted_duration': 0.3246438258336558, 'tempo_ratio': 1.555550914}, 'w': {'count': 3, 'total_original_duration': 0.8375, 'total_adjusted_duration': 0.47708547198882634, 'tempo_ratio': 1.755450646}, 'ao': {'count': 3, 'total_original_duration': 0.6875, 'total_adjusted_duration': 0.398738445381254, 'tempo_ratio': 1.724187893}, 'ah': {'count': 2, 'total_original_duration': 0.6074999999999999, 'total_adjusted_duration': 0.2865702074776133, 'tempo_ratio': 2.119899362}, 'r': {'count': 1, 'total_original_duration': 0.0825, 'total_adjusted_duration': 0.052649266145044886, 'tempo_ratio': 1.566973408}, 'm': {'count': 1, 'total_original_duration': 0.85, 'total_adjusted_duration': 0.48513182231029256, 'tempo_ratio': 1.752101101}, 'f': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.0567255634332359, 'tempo_ratio': 1.630658109}, 'l': {'count': 3, 'total_original_duration': 0.5900000000000001, 'total_adjusted_duration': 0.32791510297547716, 'tempo_ratio': 1.799246191}, 'z': {'count': 1, 'total_original_duration': 0.17, 'total_adjusted_duration': 0.07158249195258258, 'tempo_ratio': 2.374882396}, 'uh': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.04296097750218785, 'tempo_ratio': 1.745770333}, 'n': {'count': 1, 'total_original_duration': 0.35, 'total_adjusted_duration': 0.20138417917223148, 'tempo_ratio': 1.737971679}, 'ow': {'count': 1, 'total_original_duration': 0.485, 'total_adjusted_duration': 0.29716981679478344, 'tempo_ratio': 1.632063462}, 'v': {'count': 1, 'total_original_duration': 0.04, 'total_adjusted_duration': 0.022451204489019553, 'tempo_ratio': 1.781641605}, 'er': {'count': 1, 'total_original_duration': 0.2275, 'total_adjusted_duration': 0.11238900711136576, 'tempo_ratio': 2.024219324}}}",0286.wav
SPIT,BID,GOD,"{'mean_confidence': 0.9851202368736267, 'min_confidence': 0.5366259813308716, 'max_confidence': 0.9999933242797852}","{'mean_confidence': 0.9782014489173889, 'min_confidence': 0.3577602207660675, 'max_confidence': 0.9999887943267822}",3.855,3.185,1.0,1.0,"{'original_duration': 3.855, 'adjusted_duration': 3.185, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.515, 'total_adjusted_duration': 2.3857432008405706, 'tempo_ratio': 1.05417884}, 'pcl': {'count': 1, 'total_original_duration': 0.68, 'total_adjusted_duration': 0.4073254560104322, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.0475, 'total_adjusted_duration': 0.029009828785889886, 'tempo_ratio': 1.637376089}, 'ih': {'count': 1, 'total_original_duration': 0.0825, 'total_adjusted_duration': 0.04955787235518541, 'tempo_ratio': 1.664720378}, 'tcl': {'count': 1, 'total_original_duration': 0.2275, 'total_adjusted_duration': 0.1357947347275464, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.2925, 'total_adjusted_duration': 0.17754356891107947, 'tempo_ratio': 1.647482935}}}",0287.wav
